Base,Treino/Teste,1k,2k,3k,4k,5k,6k,7k,8k,9k,10k,Media_Geral
HOG_128_8x8 (8100 atrib.),10-fold CV,0.599,0.522,0.617,0.602,0.614,0.596,0.607,0.625,0.62,0.606,0.6008
HOG_128_8x8 (8100 atrib.),70/30,0.633,0.546,0.652,0.568,0.594,0.603,0.604,0.609,0.601,0.584,0.5994
HOG_128_16x16 (1764 atrib.),10-fold CV,0.627,0.592,0.627,0.622,0.63,0.618,0.628,0.631,0.591,0.626,0.6192
HOG_128_16x16 (1764 atrib.),70/30,0.674,0.567,0.664,0.599,0.665,0.619,0.69,0.69,0.699,0.671,0.6538
HOG_128_32x32 (324 atrib.),10-fold CV,0.651,0.661,0.675,0.683,0.633,0.645,0.643,0.653,0.626,0.659,0.6529
HOG_128_32x32 (324 atrib.),70/30,0.676,0.643,0.75,0.716,0.699,0.713,0.671,0.686,0.64,0.656,0.685
HOG_256_8x8 (34596 atrib.),10-fold CV,0.533,0.435,0.642,0.639,0.608,0.625,0.604,0.612,0.545,0.584,0.5827
HOG_256_8x8 (34596 atrib.),70/30,0.449,0.338,0.681,0.701,0.679,0.654,0.647,0.636,0.617,0.594,0.5996
HOG_256_16x16 (8100 atrib.),10-fold CV,0.586,0.516,0.623,0.626,0.611,0.636,0.613,0.628,0.615,0.618,0.6072
HOG_256_16x16 (8100 atrib.),70/30,0.561,0.478,0.654,0.636,0.652,0.652,0.631,0.631,0.636,0.626,0.6157
HOG_256_32x32 (1764 atrib.),10-fold CV,0.622,0.582,0.65,0.661,0.634,0.653,0.622,0.639,0.601,0.635,0.6299
HOG_256_32x32 (1764 atrib.),70/30,0.626,0.566,0.669,0.682,0.667,0.698,0.692,0.71,0.693,0.697,0.67
LBP_256_3R (26 atrib.),10-fold CV,0.589,0.547,0.646,0.614,0.635,0.63,0.656,0.651,0.629,0.643,0.624
LBP_256_3R (26 atrib.),70/30,0.643,0.578,0.676,0.651,0.674,0.662,0.673,0.686,0.647,0.646,0.6536
LBP_256_6R (50 atrib.),10-fold CV,0.609,0.602,0.605,0.619,0.627,0.62,0.609,0.607,0.608,0.626,0.6132
LBP_256_6R (50 atrib.),70/30,0.612,0.613,0.645,0.66,0.654,0.652,0.644,0.652,0.631,0.652,0.6415
LBP_256_12R (98 atrib.),10-fold CV,0.617,0.592,0.623,0.61,0.654,0.649,0.653,0.654,0.652,0.666,0.637
LBP_256_12R (98 atrib.),70/30,0.68,0.609,0.668,0.632,0.703,0.652,0.71,0.693,0.695,0.68,0.6722
PCA_075_HOG_128_8x8 (240 atrib.),10-fold CV,0.601,0.561,0.638,0.628,0.622,0.642,0.612,0.629,0.625,0.632,0.619
PCA_075_HOG_128_8x8 (240 atrib.),70/30,0.656,0.58,0.643,0.599,0.612,0.584,0.636,0.588,0.607,0.607,0.6112
PCA_075_HOG_128_16x16 (105 atrib.),10-fold CV,0.657,0.647,0.676,0.682,0.663,0.679,0.642,0.677,0.646,0.666,0.6635
PCA_075_HOG_128_16x16 (105 atrib.),70/30,0.668,0.624,0.702,0.693,0.709,0.706,0.757,0.736,0.719,0.71,0.7024
PCA_075_HOG_256_8x8 (320 atrib.),10-fold CV,0.593,0.538,0.632,0.643,0.615,0.642,0.608,0.622,0.572,0.581,0.6046
PCA_075_HOG_256_8x8 (320 atrib.),70/30,0.609,0.523,0.677,0.702,0.695,0.709,0.67,0.659,0.621,0.63,0.6495
PCA_075_HOG_256_16x16 (199 atrib.),10-fold CV,0.608,0.562,0.636,0.639,0.632,0.652,0.618,0.627,0.602,0.634,0.621
PCA_075_HOG_256_16x16 (199 atrib.),70/30,0.622,0.557,0.687,0.652,0.663,0.666,0.68,0.677,0.657,0.669,0.653
PCA_075_HOG_256_32x32 (86 atrib.),10-fold CV,0.658,0.64,0.691,0.703,0.67,0.695,0.673,0.689,0.667,0.7,0.6786
PCA_075_HOG_256_32x32 (86 atrib.),70/30,0.692,0.616,0.713,0.721,0.714,0.743,0.725,0.747,0.751,0.786,0.7208
PCA_090_HOG_128_8x8 (408 atrib.),10-fold CV,0.598,0.526,0.602,0.584,0.624,0.598,0.611,0.622,0.603,0.604,0.5972
PCA_090_HOG_128_8x8 (408 atrib.),70/30,0.643,0.515,0.609,0.551,0.615,0.578,0.599,0.589,0.626,0.569,0.5894
PCA_090_HOG_128_16x16 (210 atrib.),10-fold CV,0.651,0.619,0.637,0.639,0.638,0.639,0.614,0.63,0.606,0.637,0.631
PCA_090_HOG_128_16x16 (210 atrib.),70/30,0.666,0.612,0.685,0.614,0.68,0.638,0.683,0.686,0.708,0.671,0.6643
PCA_090_HOG_256_16x16 (363 atrib.),10-fold CV,0.605,0.539,0.626,0.639,0.626,0.633,0.611,0.629,0.615,0.63,0.6153
PCA_090_HOG_256_16x16 (363 atrib.),70/30,0.648,0.546,0.667,0.667,0.647,0.611,0.619,0.623,0.633,0.627,0.6288
PCA_090_HOG_256_32x32 (175 atrib.),10-fold CV,0.659,0.622,0.651,0.671,0.636,0.662,0.638,0.669,0.629,0.656,0.6493
PCA_090_HOG_256_32x32 (175 atrib.),70/30,0.677,0.58,0.665,0.665,0.71,0.719,0.742,0.739,0.715,0.743,0.6955
MÉDIA =>,,0.6249,0.5665,0.6557,0.6448,0.6501,0.6492,0.6482,0.6536,0.6374,0.645,
DESV. PAD =>,,0.0467,0.0629,0.0319,0.0411,0.033,0.0391,0.0413,0.0405,0.044,0.0452,
