#,Base,Treino/Teste,kNN(10),kNN(15),kNN(20),DT(10),DT(15),DT(20),NB(10),NB(15),NB(20),MLP(10),MLP(15),MLP(20)
1,PCA_075_HOG_256_32x32 (86 atrib.),10-fold CV,0.6943,0.6876,0.6792,0.6833,0.6878,0.6941,0.6762,0.674,0.674,0.644,0.6585,0.6732
,,70/30,0.709,0.6915,0.7025,0.6984,0.6835,0.703,0.7158,0.71,0.71,0.6175,0.5703,0.5774
2,PCA_075_HOG_128_16x16 (105 atrib.),10-fold CV,0.6749,0.6683,0.6694,0.6209,0.6457,0.6424,0.6782,0.6706,0.6816,0.6626,0.6556,0.6563
,,70/30,0.6686,0.6492,0.6624,0.6152,0.6245,0.6326,0.6735,0.6577,0.6369,0.7238,0.6867,0.6712
3,PCA_090_HOG_256_32x32 (175 atrib.),10-fold CV,0.6641,0.6615,0.6569,0.6584,0.6647,0.6736,0.6622,0.6622,0.6607,0.6384,0.6419,0.6528
,,70/30,0.6891,0.6891,0.6823,0.6596,0.6539,0.6461,0.6757,0.6814,0.6768,0.6785,0.7014,0.687
4,HOG_128_32x32 (324 atrib.),10-fold CV,0.6505,0.6471,0.6511,0.6441,0.6509,0.6479,0.6737,0.6735,0.6755,0.571,0.5585,0.5802
,,70/30,0.6546,0.628,0.6457,0.6627,0.6712,0.678,0.6699,0.6802,0.686,0.6011,0.6049,0.5622
5,LBP_256_12R (98 atrib.),10-fold CV,0.6117,0.6267,0.6298,0.6557,0.6677,0.6651,0.5765,0.589,0.5891,0.463,0.463,0.463
,,70/30,0.6306,0.6348,0.639,0.6202,0.6265,0.618,0.5926,0.5488,0.6006,0.4737,0.4737,0.4737
6,HOG_256_32x32 (1764 atrib.),10-fold CV,0.6509,0.655,0.6367,0.6847,0.6844,0.6777,0.6862,0.689,0.6922,0.6787,0.6786,0.6853
,,70/30,0.6513,0.6615,0.6586,0.6718,0.7288,0.7085,0.6881,0.6881,0.6891,0.6755,0.6893,0.6849
7,PCA_090_HOG_128_16x16 (210 atrib.),10-fold CV,0.6493,0.6414,0.6563,0.6295,0.6533,0.6698,0.6755,0.6721,0.6675,0.6719,0.6347,0.6349
,,70/30,0.6072,0.6245,0.6138,0.636,0.6054,0.6222,0.6694,0.6591,0.6438,0.6981,0.6411,0.6411
8,LBP_256_3R (26 atrib.),10-fold CV,0.6395,0.6392,0.647,0.6447,0.6507,0.6664,0.6146,0.6149,0.6082,0.463,0.463,0.463
,,70/30,0.6031,0.6306,0.6322,0.6503,0.6043,0.5899,0.5899,0.5786,0.5709,0.4737,0.4737,0.4737
9,PCA_075_HOG_256_16x16 (199 atrib.),10-fold CV,0.6424,0.6464,0.6408,0.6632,0.649,0.662,0.6234,0.6179,0.6239,0.67,0.6961,0.6958
,,70/30,0.6419,0.617,0.625,0.6197,0.6483,0.639,0.6415,0.6483,0.6358,0.6952,0.6986,0.7076
10,HOG_128_16x16 (1764 atrib.),10-fold CV,0.635,0.6298,0.6398,0.6405,0.6619,0.6535,0.6997,0.6997,0.7057,0.6912,0.688,0.6873
,,70/30,0.5762,0.579,0.5722,0.6746,0.674,0.6558,0.6751,0.686,0.6853,0.6737,0.6925,0.7076
11,LBP_256_6R (50 atrib.),10-fold CV,0.6321,0.6239,0.6114,0.6506,0.6726,0.6664,0.6354,0.6264,0.6298,0.463,0.463,0.463
,,70/30,0.5742,0.5702,0.5852,0.5892,0.586,0.6253,0.5624,0.5746,0.5675,0.4737,0.4737,0.4737
12,PCA_075_HOG_256_8x8 (320 atrib.),10-fold CV,0.6034,0.6177,0.6298,0.6654,0.6636,0.6625,0.6026,0.5968,0.5981,0.6912,0.6662,0.6716
,,70/30,0.6002,0.5864,0.5864,0.5948,0.639,0.6464,0.6269,0.6222,0.6269,0.648,0.674,0.6584
#,Media =>,,0.6457,0.6454,0.6457,0.6534,0.6627,0.6651,0.6504,0.6488,0.6505,0.609,0.6056,0.6105
#,Desv. Pad. =>,,0.0251,0.0203,0.0185,0.0193,0.0137,0.0137,0.0387,0.0376,0.039,0.0936,0.0928,0.094
