#,Base,Treino/Teste,Clf(5),Clf(10),Clf(15),Clf(20)
1,PCA_075_HOG_256_32x32 (86 atrib.),10-fold CV,0.7032,0.7248,0.7352,0.7335
,,70/30,0.7607,0.7273,0.733,0.7318
2,PCA_075_HOG_128_16x16 (105 atrib.),10-fold CV,0.6652,0.6921,0.6781,0.7126
,,70/30,0.6702,0.6686,0.7112,0.7076
3,PCA_090_HOG_256_32x32 (175 atrib.),10-fold CV,0.666,0.6925,0.7058,0.7157
,,70/30,0.7227,0.6738,0.7031,0.6827
4,HOG_128_32x32 (324 atrib.),10-fold CV,0.648,0.6565,0.6805,0.6796
,,70/30,0.6283,0.6986,0.7031,0.6762
5,LBP_256_12R (98 atrib.),10-fold CV,0.6141,0.6342,0.6112,0.6112
,,70/30,0.572,0.6366,0.6447,0.6447
6,HOG_256_32x32 (1764 atrib.),10-fold CV,0.6489,0.6665,0.6992,0.7167
,,70/30,0.7227,0.687,0.688,0.6986
7,PCA_090_HOG_128_16x16 (210 atrib.),10-fold CV,0.6364,0.6609,0.6745,0.7044
,,70/30,0.6414,0.6153,0.6506,0.6871
8,LBP_256_3R (26 atrib.),10-fold CV,0.6076,0.6342,0.6245,0.621
,,70/30,0.6058,0.602,0.5981,0.5981
9,PCA_075_HOG_256_16x16 (199 atrib.),10-fold CV,0.6341,0.6661,0.6601,0.6969
,,70/30,0.6405,0.6805,0.7085,0.7288
10,HOG_128_16x16 (1764 atrib.),10-fold CV,0.6177,0.6563,0.6877,0.7063
,,70/30,0.6239,0.6374,0.6896,0.6826
11,LBP_256_6R (50 atrib.),10-fold CV,0.591,0.65,0.6355,0.6355
,,70/30,0.547,0.633,0.5932,0.5932
12,PCA_075_HOG_256_8x8 (320 atrib.),10-fold CV,0.6157,0.6371,0.6341,0.6946
,,70/30,0.6334,0.6399,0.6502,0.6925
#,Media =>,,0.6373,0.6643,0.6689,0.6857
#,Desv. Pad. =>,,0.0311,0.0272,0.0369,0.0406
